Subject ,Condition ,Comprehensibility,Scheme.Quality,The two stories are similar,Radiation.WO.Hint,BeforeHint,Radiation.W.Hint,AfterHint,Gender,Gender.Other,Race,Age,Feedback
211,1,Intermediate,Poor,Moderately Agree,opening the body up and applying rays to only the tumor? ,0,"I suppose, to give another answer, that you could just give the rays all over at a high volume and hope that the healthy tissue can repair or heal.",0,Male,,Non-Hispanic White or Euro-American,35 - 44,"This was very confusing to me. Not sure why, I usually am sharp. "
212,2,Intermediate,Poor,Moderately Disagree,"
I have no idea",0,no comment,0,Male,,Other,25 - 34,no comment
213,1,Intermediate,Poor,Neutral,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post",0,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post",0,Male,,South Asian or Indian American,25 - 34,good survey 
214,1,Good,Intermediate,Strongly Agree,Split the ray into smaller beams and hit the tumor from different angles all at once.,1,Split the beam into smaller less powerful rays and attack the tumor that way.,1,Male,,Non-Hispanic White or Euro-American,35 - 44,
215,2,Good,Poor,Moderately Agree,"I really don't know. My first thought was to at least cut the patient open to avoid hitting healthy tissues on the way in, but I don't know if that would be allowed since operation is impossible.",0,"You could try sending smaller amounts of radiation at a time to target parts of the tumor and hopefully avoid damaging too much healthy tissue, kind of like the general marching to the fortress?",1,Female,,Non-Hispanic White or Euro-American,25 - 34,"Nothing was unclear, but the short time limit on the HIT was kind of stressful."
216,2,Good,Poor,Strongly Agree,fine very interesting,0,very good,0,Male,,South Asian or Indian American,18 - 24,good
217,1,Good,Poor,Moderately Agree,the general story,0,the general,0,Female,,Non-Hispanic White or Euro-American,25 - 34,no
218,2,Intermediate,Poor,Neutral,i dont know,0,i dont know,0,Male,,Non-Hispanic White or Euro-American,25 - 34,no comment
219,2,Good,Poor,Agree,Using several x-rays at a lower frequency at different locations but uniting at the center of the mass and thus only destroying the tumor,1,"This is the same as the general story, several small rays at lower frequency entering from different locations and regrouping at the center of the tumor.",1,Male,,Non-Hispanic White or Euro-American,45 - 54,None
220,1,Good,Good,Agree,"Many lower intensity rays could be directed through healthy tissue at different points, such that they don't harm the healthy tissue, aimed at the same point within the tumor, so as to concentrate their power and destroy the tumor.",1,"Direct lower intensity rays through different areas of healthy tissue to meet at a single, concentrated point within the tumor.",1,Female,,Non-Hispanic White or Euro-American,35 - 44,"While the intention wasn't unclear, there are some misspellings in ""The Fire Chief"" story -- the fire chief is periodically referred to as ""the tire chief."""
221,2,Good,Poor,Agree,Using rays of different intensities to achieve the combined intensity at the target tumor,0,Using the same methodology of splitting the work among mulitple rays,0,Male,,Non-Hispanic White or Euro-American,25 - 34,
222,2,Intermediate,Poor,Agree,saw flames he sounded the alarm,0,The tumor is not healthy for thehuman heings,0,Male,,South Asian or Indian American,25 - 34,
223,2,Good,Poor,Moderately Agree,The high and lower intensities are destroy the tumor. ,0,The Radiation problem is similar ,0,Male,,"Black, Afro-Caribbean, or African American",25 - 34,
224,1,Good,Good,Strongly Agree,apply many lower intensity rays all at one time to the tumor.,1,apply many low intensity rays at the same time.,1,Male,,Non-Hispanic White or Euro-American,45 - 54,
225,2,Intermediate,Poor,Moderately Agree,A surgery type of procedure. ,0,not sure.,0,Male,,Non-Hispanic White or Euro-American,25 - 34,
226,2,Intermediate,Poor,Neutral,To operate.,0,"By operation.
",0,Female,,Native American or Alaskan Native,25 - 34,
227,2,Intermediate,Poor,Moderately Agree,yes some health problems occured to be protetected through counciler,0,avoid healthy issues,0,Male,,East Asian or Asian American,35 - 44,good study
228,1,Good,Good,Agree,they could use many different rays from different directions so that they could harmlessly pass through the tissue and be focused on the tumor.,1,"using several different rays from different directions so that their low intensity can pass through the tissue, and the be focused at a point on tumor so that the focal point has high intensity and can break down the tumor.",1,Male,,Non-Hispanic White or Euro-American,35 - 44,
229,1,Good,Poor,Moderately Agree,Here Radiation is the worst one and its effect is very heavy give side effects. it may be extends to cancer ...etc,0,They an use some protector from the rays and some shields which is protect high volume rays.,0,Male,,South Asian or Indian American,25 - 34,This is very useful.
230,1,Good,Intermediate,Moderately Agree,"Using multiple rays aimed through different parts of the body, but attacking the tumor at the same time.",1,Divide the rays into smaller groups and aim them at the tumor so they attack at the same time.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,"HIT expired, not enough time to complete this study."
231,1,Good,Intermediate,Agree,A procedure that didn't hurt the tissue would be one that would be high intensity enough to kill the tumor.  ,0,The chiefs procedure.  ,0,Female,,Middle Eastern or Arab American,35 - 44,Not enough time! 
232,1,Good,Intermediate,Agree,Applying lower intensity rays from all the sides. ,1,Applying the lower intensity rays from all the sides to the tumor can solve the issue. ,1,Male,,South Asian or Indian American,18 - 24,Yeah. The time ran out. My mturk id is A1IN92CQSAJE9Z. 
233,1,Good,Intermediate,Strongly Agree,Instead of one ray shot directed at the tumor many ray shots could be used to succeed.,1,Instead of one ray shot at the tumor many ray shots should work.,1,Male,,Non-Hispanic White or Euro-American,65 - 74,Everything was clear.  You might want to change the 2 instances of Tire Chief back to Fire Chief.....
234,1,Intermediate,Poor,Moderately Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post",1,"The most common early side effects are fatigue (feeling tired) and skin changes. Other early side effects usually are related to the area being treated, such as hair loss and mouth problems when radiation treatment is given to this area.",0,Male,,South Asian or Indian American,25 - 34,GOOD SURVEY 
235,2,Good,Intermediate,Agree,hitting the tumor with a bunch of small doses of radiation at once in different areas,1,hitting the tumor with a bunch of small doses of radiation in different areas at once,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
236,2,Good,Poor,Moderately Agree,Maybe a procedure that targets the tumor from a different angle. ,0,"Use the lower rays that don't damage tissue and surround the tumor from every angle with them, ",1,Female,,Non-Hispanic White or Euro-American,18 - 24,Thank you! The study was great. Different and challenging!
237,1,Good,Poor,Strongly Agree,yes,0,fire,0,Male,,East Asian or Asian American,18 - 24,
238,2,Poor,Poor,Neutral,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.
",0,"According to Loewenstein, Thompson, and Gentner (1999), 10% of people who were asked to solve this problem suggested using multiple, simultaneous low-dose rays from various angles. Each ray is low-dose, so wouldn_验t damage the tissues it passed through to reach the tumour. All the rays would converge at the tumour, leading to a cumulative high dose only at the tumour.
",0,Male,,Native American or Alaskan Native,35 - 44,good
239,1,Good,Poor,Agree,"One night a fire broke out in a wood shed full of timber on Mr. Johnson_验s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasn_验t controlled quickly the house would go up next.",0,correct treatment to take action,0,Male,,South Asian or Indian American,25 - 34,good
240,1,Good,Poor,Agree,"
Thinking about analogical reasoning.
I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.",0,We take care of good and healthy product and treat the person.,0,Male,,South Asian or Indian American,25 - 34,good
241,1,Good,Good,Agree,multiple smaller rays from multiple directions,1,use multiple weaker rays from different directions.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
242,1,Intermediate,Good,Strongly Agree,lower the intensity of the ray or use a machine that has less voltage i guess.,0,"they can use a big group of doctors with materials that dont ruin the tissues, the process may take longer.",0,Female,,Latino or Hispanic American,45 - 54,the time was very limited and i could not provide my best answers
243,2,Good,Poor,Agree,"Knock patient unconscious, put the ray gun on a stick.  Insert in patient via throat hole.  Turn on laser.  Remove after patient wakes up.  Repeat if necessary",0,"Cut him open, fire!",0,Female,,Native American or Alaskan Native,35 - 44,"Nope, very fun survey.  Thank you for allowing me to participate."
244,2,Intermediate,Poor,Moderately Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post",0,"For tumors that divide slowly, the mass may shrink over a long, extended period after radiation stops. The median time for a prostate cancer to shrink is about 18 months. For colon carcinomas, some may grow more quickly and others may grow more slowly",0,Male,,East Asian or Asian American,25 - 34,yes great survey
245,2,Good,Poor,Agree,"For tumors that divide slowly, the mass may shrink over a long, extended period after radiation stops. The median time for a prostate cancer to shrink is about 18 months. For colon carcinomas, some may grow more quickly and others may grow more slowly",0,"For tumors that divide slowly, the mass may shrink over a long, extended period after radiation stops. The median time for a prostate cancer to shrink is about 18 months. For colon carcinomas, some may grow more quickly and others may grow more slowly",0,Male,,South Asian or Indian American,25 - 34,no comments
246,1,Good,Intermediate,Strongly Agree,"use the rays on the tumor very slowly, a milometer at a time would be my best guess.  ",0,"Use the rays on the tumor slowly and carefully a milometer at a time bit, by bit to avoid killing healthy tissue. ",0,Female,,Non-Hispanic White or Euro-American,35 - 44,
247,1,Good,Intermediate,Moderately Agree,X ray treatment,0,X ray treatment,0,Male,,South Asian or Indian American,25 - 34,If provided more time the summary would be a better one.
248,1,Intermediate,Poor,Agree,"Radiation oncologists use this type of treatment to destroy cancer cells and slow tumor growth without harming nearby healthy tissue. ... When it is not possible to destroy all of the cancer, doctors may use radiation therapy to shrink tumors and relieve symptoms. This is called palliative radiation therapy.",0,"Radiation oncologists use this type of treatment to destroy cancer cells and slow tumor growth without harming nearby healthy tissue. ... When it is not possible to destroy all of the cancer, doctors may use radiation therapy to shrink tumors and relieve symptoms. This is called palliative radiation therapy.",0,Male,,South Asian or Indian American,25 - 34,A previous question asked 'Which dialects of English consider _岩would_褲 to be a polite form of _岩will_褲?' I'd say it's a virtually universal pragmatic device to use 'would' where 'will' would appear the logical choice (though there are probably some situations where using it might be confusing).
249,2,Intermediate,Poor,Moderately Agree,Use lower intensity rays for long time so that tumor may destroyed slowly.,0,Apply several low intensity rays same time.,1,Male,,Other,25 - 34,"The time 12 minute is not enough. If you want good result , give enough time.
I could not complete in 12 minute. So I had to submit the hit with my mturk ID. "
250,1,Good,Intermediate,Agree,A number of lower intensity rays could be used together at the same time to destroy the tumor. ,1,A number of lower intensity rays could be used together at once to destroy the tumor. ,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
251,2,Intermediate,Poor,Agree,There is a kind of ray that can be used to destroy the tumor.,0,This is very useful for us.,0,Male,,"Black, Afro-Caribbean, or African American",35 - 44,This survey is very easy.
252,2,Intermediate,Poor,Moderately Agree,A ray with a higher intensity.,0,Using a high intensity laser ray.,0,Male,,Prefer not to answer,25 - 34,Everything was clear.
253,2,Intermediate,Poor,Neutral,SOME WHAT LIKE A DE RADIATION PROCUDURE CAN BE DONE,0,YES THE SAME LIKE THE STORY,0,Male,,Other,18 - 24,NOTHING
254,2,Good,Poor,Agree,Yes will be type of procedure might be used to destroy the tumor with the rays.,0,yes  procedure might be used to destroy avoid destroying the healthy tissue.,0,Male,,South Asian or Indian American,25 - 34,This is very good task.
255,1,Good,Poor,Agree,The doctor should set up may rays that circle the tumor such that each ray is of low intensity and won't damage the healthy tissue.  But collectively they will have enough force or intensity to destroy the tumor.,1,Set up many rays in a circle around the tumor.  Make sure the rays are of low intensity so that they won't harm the healthy tissue.  But collectively from the many angles they will combine to a high intensity to kill the tumor.,1,Female,,Non-Hispanic White or Euro-American,35 - 44,"You should extend the lenght of your timer on the HIT, many people will probably not be able to complete this in under 12 minutes."
256,1,Good,Poor,Strongly Agree,"For tumors that divide slowly, the mass may shrink over a long, extended period after radiation stops. The median time for a prostate cancer to shrink is about 18 months. For colon carcinomas, some may grow more quickly and others may grow more slowly.Apr 30, 2006
",0,"For tumors that divide slowly, the mass may shrink over a long, extended period after radiation stops. The median time for a prostate cancer to shrink is about 18 months. For colon carcinomas, some may grow more quickly and others may grow more slowly.Apr 30, 2006
",0,Female,,South Asian or Indian American,25 - 34,"good,very nice"
257,2,Good,Poor,Strongly Agree,block it,0,find for help,0,Female,,South Asian or Indian American,18 - 24,very gratefull
258,2,Intermediate,Poor,Agree,"I'm not too certain the answer to this since it's impossible to operate on the patient per the text.  If I had to speculate, they would try to blast the area with several low impact rays focused on one area that would become a high intensity beam below the healthy tissue.  This might eradicate the tumor.",0,"As in the previous comment, the would use several low intensity rays to get past the healthy tissue and focus them on gathering in the area of the tumor to eradicate it.",1,Male,,Non-Hispanic White or Euro-American,25 - 34,"Everything was clear in regards to the questions, there was a typo or two in the fire chief story where it referred to ""tire"" instead of ""fire""."
259,1,Good,Poor,Agree,"multiple rays from multiple places, so it doesn't attack healthy tissue with a great strength, but only hits the tumor.",1,"I would attack with different rays from different places to avoid attacking healthy tissue, but instead focus the rays on the tumor.",1,Male,,Non-Hispanic White or Euro-American,25 - 34,
260,1,Good,Poor,Agree,good,0,yes,0,Male,,East Asian or Asian American,25 - 34,good
261,1,Good,Poor,Strongly Agree,radiation must be stopped before it will be a worst pollution,0,kindly stop the radiation problem,0,Male,,South Asian or Indian American,25 - 34,good study
262,2,Good,Poor,Neutral,take preventions,0,take preventions,0,Female,,East Asian or Asian American,25 - 34,good
263,1,Good,Intermediate,Agree,I would use many low power rays fro different directions that pass harmlessly through normal tissue that converge at the tumor and are then strong enough to destroy it.,1,I would use many low power rays fro different directions that pass harmlessly through normal tissue that converge at the tumor and are then strong enough to destroy it.,1,Male,,Non-Hispanic White or Euro-American,55 - 64,no issues
264,1,Good,Poor,Neutral,WE CAN CURE TUMOR WITH RAYS.BECAUSE RAYS KILLS UNWANTED SELES IN OUR BODY.WE CAN TAKE LOTS OF CARE ABOUT OUR BODY.,0,IT WAS A SAME PROCEDURE.BECAUSE TUMOR AND ENEMIES ARE SAME . WE KILL TUMOR USING RAYS AND WE CAN KILL ENEMIES USING WEAPONS.,0,Female,,East Asian or Asian American,25 - 34,GOOD
265,2,Intermediate,Poor,Agree," the mass may shrink over a long, extended period after radiation stops. The median time for a prostate cancer to shrink is about 18 months. For colon carcinomas, some may grow more quickly and others may grow more slowly.Apr 30, 2006",0,"oncologists use this type of treatment to destroy cancer cells and slow tumor growth without harming nearby healthy tissue. ... When it is not possible to destroy all of the cancer, doctors may use radiation therapy to shrink tumors and relieve symptoms. This is called palliative radiation therapy.",0,Female,,South Asian or Indian American,25 - 34,"Increasingly, in order to scout out the top talent, businesses are now throwing curveball questions during the interview process. Asking about seemingly unrelated topics can help give a company a wider snapshot into the person and their life. "
266,1,Intermediate,Poor,Agree,doctor gives the first aid,0,because of radiation problem many peoples are affected,0,Male,,Middle Eastern or Arab American,25 - 34,
267,2,Good,Poor,Disagree,"I feel the first and foremost things is destroy the tumor with the high intensity rays which would keep the patient alive and then with other medical studies patient's healthy tissue health can be improved over time. Also before trying this, the doctor should look for ways to deflect the ray in such a way that it just reaches the tumor and comes back before reaching the health tissue.",0,"The doctor should send the low intensity rays from many different directions to the tumor at the same time this would result in high intensity, destroying the tumor and also preventing the health tissue from being damaged.",1,Male,,South Asian or Indian American,18 - 24,Everything was clear.
268,2,Poor,Poor,Strongly Disagree,At lower intensities continuously the tumor may destroy and the health will not affect.,0,"Give the high and lower intensities at a time, so that the tumor will destroyed and the health will not affected.",1,Male,,South Asian or Indian American,25 - 34,
269,2,Good,Poor,Agree,rays kills unwanted cells in our body.,0,yes these two story tells fight against our enemies.because they all want to save our people.,0,Male,,East Asian or Asian American,18 - 24,good
270,2,Intermediate,Poor,Neutral,but doctor was ready to faced a stomach treatment for pacent,0,but the doctor was ready to surgery for turmor stomach pain ,0,Male,,South Asian or Indian American,25 - 34,good
271,2,Good,Poor,Agree,yes destroying the tissue,0,yes,0,Male,,South Asian or Indian American,25 - 34,very intresting this survey
272,1,Intermediate,Poor,Moderately Agree,"t therefore seemed impossible to capture the fortress. However, the general devised a simple plan.",0,One night a fire broke out in a wood shed full of timber on Mr. Johnson_验s place. As soon as he saw flames he sounded the alarm,0,Male,,South Asian or Indian American,25 - 34,good
273,1,Good,Good,Agree,"Insert the nozzle of the machine which is emitting the rays inside a hole in the patient's stomach so that the nozzle is positioned directly on the tumor. That way, the rays don't have to go through layers of healthy tissue, they only impact the tumor.",0,"Direct multiple ray emitting machines toward the tumor, and power them at the same time, so that the tumor will receive enough radiation to be destroyed without any healthy tissue being damaged, since the total amount of radiation will be divided into several points of impact.",1,Female,,Non-Hispanic White or Euro-American,55 - 64,Everything was clear.
274,2,Good,Poor,Agree,very nice,0,Very natural,0,Female,,Latino or Hispanic American,18 - 24,nice
275,2,Good,Poor,Strongly Agree,"The Tumor and the Fortress The fact that people can impose coherent interpretations on messy, ambiguous.",0,"Analogical Problem Solving. Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate of the patient, but unless the tumor is destroyed the patient will die. There is a kind of ray that can be used to destroy the tumor.",0,Female,,South Asian or Indian American,35 - 44,It is good work and very interesting.
276,2,Good,Poor,Agree,"these problems happen when radiation damages your body. For example, scar tissue can affect the way your lungs or your heart works. Bladder, bowel, fertility, and sexual problems can start after radiation to your belly or pelvis. Another possible late effect is a second cancer.J",0,"these problems happen when radiation damages your body. For example, scar tissue can affect the way your lungs or your heart works. Bladder, bowel, fertility, and sexual problems can start after radiation to your belly or pelvis. Another possible late effect is a second cancer.J",0,Female,,"Black, Afro-Caribbean, or African American",25 - 34,very nice and useful of knowledge
277,1,Good,Poor,Agree,use a lower sufficienty system no one tissue are there,0,Please use a possible operate system and there aslo no isuue coming,0,Female,,Non-Hispanic White or Euro-American,25 - 34,Very learning survey 
278,2,Good,Poor,Moderately Agree,"Rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed",0,"Rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed",0,Female,,Non-Hispanic White or Euro-American,25 - 34,This is very good study and very well task
279,1,Good,Good,Strongly Agree,chemotherapy,0,Attack the tumor by using numerous rays at the same time from different angles.,1,Female,,East Asian or Asian American,35 - 44,"The 12 minute timer was too short. It took me almost 15 minutes to finish this HIT, and I felt rushed. I will reach out to Amazon to try to contact you as I expect to get paid. It is a policy violation to Amazon to set the timer too short so we can't submit the HIT to get paid. "
280,1,Good,Poor,Agree,WONDERFUL OF THE STORY  IS VERY GOOD.,0,NO COMMENTS,0,Male,,South Asian or Indian American,25 - 34,EXCELLENT OF THE WORK.
281,2,Intermediate,Poor,Moderately Agree,put a metal ring around the area to focus the beam,0,by having the beam focused.,0,Female,,Non-Hispanic White or Euro-American,25 - 34,
282,2,Good,Intermediate,Moderately Agree,May we should follow the story empathy. with different thought. By the rays reach the tumor all at once at a sufficiently high intensity without affecting the health issue.,0,Yes i wrote about this by the story basis. Without affecting the health and destroy the tumor by passing the ray with medium intensity.,0,Male,,South Asian or Indian American,18 - 24,"Nothing, but the time period is very less."
283,2,Good,Good,Moderately Agree,"Focus the rays from multiple sources on a single location, so that the tumor is the focus and healthy tissue does not face the damage from the ray.",1,"I suggest a solution based on ""The General"", so that you split the intensity of the ray and direct it from multiple places to the tumor as its focus.",1,Male,,Non-Hispanic White or Euro-American,35 - 44,
284,1,Good,Poor,Strongly Agree,"Analogical Problem Solving. Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate of the patient, but unless the tumor is destroyed the patient will die. There is a kind of ray that can be used to destroy the tumor",0,"Radiation Problem Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate on the patient, but unless the tumor is destroyed the patient will die. There is a kind of ray that can be used to destroy the tumor.",0,Male,,South Asian or Indian American,25 - 34,It is good survey and very interesting.
285,2,Good,Poor,Strongly Agree,not affect the tumor either. ,0," impossible to operate on the patient, but unless the tumor is destroyed the patient will die",0,Male,,East Asian or Asian American,25 - 34,GOOD ONE
