Subject ,Condition ,Summary  General ,summarize The Fire Chief,Comprehensibility,Describe two stories seemed similar.,The two stories are similar,Radiation.WO.Hint,BeforeHint,Radiation.W.Hint,AfterHint,Gender,Gender.Other,Race,Age,Feedback,,,,,,,,,,,,,,,,,,,,,
150,2,"One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",Intermediate,TWO STORIES ABOUT THE COUNTRIES RULES AND FIRE FLAME EXPERIENCE,Strongly Agree,IDENTIFY THE HEALTH ISSUES,,I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. ,,Female,,Latino or Hispanic American,35 - 44,GOOD,,,,,,,,,,,,,,,,,,,,,
151,2,"One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",Intermediate,TWO STORIES ABOUT THE  COUNTRIES RULES ABD FIRE FALME EXPERIENCE,Strongly Agree,IDENTIFY THE HEALTH ISSUES,,The Radiation Problem and Its Solution from a Health Communication Perspective,,Male,,Latino or Hispanic American,25 - 34,GOOD,,,,,,,,,,,,,,,,,,,,,
152,1,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress. However, the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal and each group marched down a different road.
As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control","As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control",Intermediate,moderately agree,Moderately Agree,"Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate on the patient, but unless the tumor is destroyed the patient will die. There is a kind of ray that can be used to destroy the tumor. If the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed",,"ne night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under con",,Male,,South Asian or Indian American,25 - 34,thank you,,,,,,,,,,,,,,,,,,,,,
153,2,"The general knew that an attack by his entire army would capture the fortress.Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.He divided his army into small groups and dispatched each group to the head of a different road.In this way, the general captured the fortress and overthrew the dictator.A small country was ruled from a strong fortress by a dictator.","As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire.The fire seemed to evaporate each bucket of water before it hit the wood.
One night a fire broke out in a wood shed full of timber on Mr.Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.If a large volume of water could hit the fire at the same time, it would be extinguished.The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr.",Intermediate,"As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire.Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.
The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.",Agree,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.
The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.",,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.
The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.",,Male,,South Asian or Indian American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
154,1,"summary, like paraphrase, allows you to reproduce another writer's thoughtsâ€”but in
shortened form. In writing a summary, you focus on the most important statements of
the original statements of the original passage and eliminate the less important
material. Three techniquesâ€”selection and deletion, note taking, and miniaturizingâ€”can help you
shorten the material. As you become more adept at summarizing, you will devise your own
combination of these techniques for each occasion. But in all cases the summary must be written
in readable prose that reflects the essential meaning of the original text. Like paraphrase,
summary can be used for many purposes: to help you understand the main points and structure
of the author's argument, to convey understanding to others, to present background information
quickly, or to refer to another writer's ideas in the course of making your own original statement.
S","Retired Fire Chief pens reflections on his life as a volunteer firefighter. â€œFire Chiefâ€ù by Ed Daniels shares experiences and sacrifices until now known only to the volunteers themselves. In his first novel, â€œFire Chief; The Story of a Volunteer Firefighter,â€ù author Ed Daniels recalls his life as a volunteer firefighter in the mountains of Colorado. Based on actual events, the book takes readers into the heat which countless volunteer firefighters face every day throughout the world. Most people donâ€™t realize that the majority of the firefighters",Good," 
Share to Facebook
Share to Twitter
Share to Email App
 
Iâ€™m sitting in a cafe in Melbourne when that song comes on, When Will I Be Famous? There I am sipping a flat white, they love their flat whites over here, and listening to this Aussie lad bang on about how heâ€™s really into minimal techno. Iâ€™m nodding away to the sounds of Bros and smiling to myself, he probably thinks Iâ€™m being ironic or something. Molly would have been so much better at this online dating thing. She wouldnâ€™t zone out in the middle of a conversation and start daydreaming about some boyband from the 1980s.",Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.
Bear with me; we need to set things up first.
In a 1945 paper, Duncker offered the following scenario.",,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.
Bear with me; we need to set things up first.
In a 1945 paper, Duncker offered the following scenario.",,Male,,South Asian or Indian American,25 - 34,i was interest this survay . good,,,,,,,,,,,,,,,,,,,,,
155,2,A dictator ruled his land from a fortress. He had rigged mines on all the roads to his fortress that would detonate if a heavy load went over them. The general devised a way to avoid detonating the mines by putting his army in small groups on various roads and the moving on the fortress in a synchronized fashion from every possible road. This avoided detonating the mines and allowed them to succeed in overthrowing the dictator.,A man's shed filled with timber caught fire and was threatening to burn his house. People showed up with buckets but throwing one small bucket at a time of water on the fire was not effective. The chief showed up and organized the volunteers to each hold their bucket of water and throw them all together at once so as to deluge the fire with a large amount of water and save the house. This was successful and the chief got a raise.,Good,"The main character had to devise a creative plan to solve a problem, both were successful with their alternate plan to meet their goal.",Disagree,"Maybe the ray can be emitted by a small device that can be swallowed into the stomach, such as used in an endoscopy or similar procedure. So as to only target the tumor and not the extra tissue between the stomach and the outside skin.",,I don't know the answer to this question.,,Female,,Non-Hispanic White or Euro-American,35 - 44,"The timer is very short for this task. I felt a lot of time pressure to complete the survey quickly because of only having a 12 minute timer. With more time, I might have been able to answer the last question about a solution based on either of the prior stories.",,,,,,,,,,,,,,,,,,,,,
156,1,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next.
The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone.
The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.
",Good,GOOD THINGING,Agree,QUALIFIED X RAYS,,HEALTHY FOOD,,Male,,South Asian or Indian American,25 - 34,REALLY GOOD,,,,,,,,,,,,,,,,,,,,,
157,2,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress","seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.
",Intermediate,moderate,Moderately Agree,"Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",,"The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",,Male,,South Asian or Indian American,25 - 34,thank you,,,,,,,,,,,,,,,,,,,,,
158,2,The General was able to gather all his troops in a way that he was successful.,The Fire Chief had everyone coordinate so that they threw their water at the same time and were able to put out the fire,Good,"They both involved team work, they both had a strong leader.",Agree,I have no idea.,,I would use many smaller rays.,,Female,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
159,2,"The General wanted to succeed the dictator by marching his army towards the village. But the village and mine are protected with mines that could smell human movement and blast away once found. But the General wanted to capture the fortress of the dictator. So he made a plan by using small troops of soldiers in different ways and paths and by doing so, the general captured the fortress and overthrew the dictator. ","A fire broke out at Johnson's place, and the alarms were on, People rushed with buckets of water to control the water but it was not adequate The fire evaporated all the bucket water, the fire chief arrived and filled the water into the buckets and saved Johnson with the help of the public.",Intermediate,It is not similar. Team work may look like similar. ,Strongly Disagree,X ray treatment.,,I dont have a solution and I am not good with medical background.,,Male,,South Asian or Indian American,25 - 34,Gve more time,,,,,,,,,,,,,,,,,,,,,
160,1,The simultaneous apply of small forces would more effective than direct apply.,By throwing the water simultaneously by small forces has helped to save the wood shed. ,Good,In both story the large forces were separated to small forces to achieve success.    ,Agree, Lower intensities the rays would be used several time to cure tumor.  ,,lower intensities of rays would be used several time to clear the tumor.,,Male,,South Asian or Indian American,25 - 34,None,,,,,,,,,,,,,,,,,,,,,
161,1,There was a fire. The fire chief put out the fire by having everyone throw buckets of water at the fire.,"Oops sorry, I summarized the wrong story for the previous answer. 
The fire chief put out a fire by having everyone throw a bucket of water.
For ""the General"" story: the General achieved victory by having many small forces arrive at the fortress at the same time.",Intermediate,Both involve using small forces put together.,Moderately Agree,Use many small rays together.,,Use many lower intensity rays focused together.,,Male,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
162,1,"There was a strong fortress that controlled a country and it was ruled by a dictator. The fortress was located in the middle of the country and had many roads leading to it. The general wanted to organize a large army to take over the fortress however the roads leading to the fortress had mines. The mines would trigger if a large group walked over them. To get around this, the general divided his army into different smaller groups and they took different roads and successfully captured the fortress.","There was a fire in a wood shed. A lot of neighbors immediately took action and arrived with buckets of water. However because the fire was burning so intensely, a single bucket of water did not do much good in putting the fire out. Then the fire chief arrived and he arranged the group of neighbors to fill their buckets of water from a nearby lake, and gather in a circle around the fire. Then they all threw their buckets of water at the fire at the same time and successfully extinguished the fire.",Good,Both situations in the stories had the same principle of dividing a large force if you're not able to apply the large force into smaller forces to accomplish the same thing.,Agree,A procedure where there are many lower intensity rays pointed at the tumor to destroy it.,,Using many lower intensity rays at the same time to destroy the tumor.,,Male,,East Asian or Asian American,18 - 24,,,,,,,,,,,,,,,,,,,,,,
163,2,IT IS A SMALL COUNTRY SITUATED IN THE MIDDLE SURROUNDED BY FARMS AND VILLAGES THEY ARE LARGE FORCE THAT DONATE MINES AND THEN DIVIDE THE ARMY INTO TWO GROUPS,ONE NIGHT FIRE BROKE OUT IN A WOOD SHED THERE WHERE NEIGHBOURS AND PLENTY OF WATER AVAILABLE GOT EXTINGUISED,Good,SOMEWHAT SIMILAR AND GOOD,Agree,IT CAUSE HARM TO HUMAN AND VERY DANGEROUS TO PREGNANCY WOMEN AND FOR CHILDREN BECAUSE IT HAVING HIGH INTENSITY,,IT CAN BE PURIFIED AND TO BE USED IN CORRECT MANNER SO THAT WE CAN AVOID UNWANTED RADIATION,,Male,,Non-Hispanic White or Euro-American,25 - 34,VERY NICE,,,,,,,,,,,,,,,,,,,,,
164,1,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages.But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organize","A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress.",Good,GOOD AND INTERESTING,Agree,NOTHING ITS ALSO GOOD,,I ALMOST FACED THE PROBLEM,,Male,,South Asian or Indian American,25 - 34,GOOD AND VERY INTERESTING STORY.,,,,,,,,,,,,,,,,,,,,,
165,2,"A small country was ruled from a strong fortress by a dictator. Many road led to the fortress through the countryside. A rebel general want to capture the fortress because he knows that he can capture it.  He gathered his army for a direct attack. The general learned that the general plant the mines on the roads. He also know that the mines are set and small bodies can pass safely and large force would detonate the mines. He divide his army into small groups to the head of a different road. When all was ready he gave a signal and each group marched down a different road and the entire army arrived together at the fortress at a same time. In this way, the general capture the fortress and overthrew the dictator.","Fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. He sounded the alarm, and within minutes dozens of neighbors were come out. Everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Luckily, the shed was right beside a lake, there was plenty of water available but there was a problem If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with. Fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. When everyone prepared, he gave a shout and everyone threw their bucket of water at the tire and it was quickly brought under control. Everyone is thankful to Fire chief.",Good,The action of commander in the two stories seemed similar.,Agree,I think the mid point of rays is best option for it. Middle intensity is good choice not lower and higher. In this way everything will be fine.,,I think I would try middle intensity instead of low or high intensity. This will be best and suitable option for me as a doctor and for patient. ,,Male,,Native American or Alaskan Native,35 - 44,It's interesting. Thanks.,,,,,,,,,,,,,,,,,,,,,
166,2,"A general was trying to capture a fortress. He couldn't attack at once because sending a large group would set off mines. He sent small sets of troops to each road, and then attacked the fortress all at once, overthrowing the dictator.",One night a fire broke out in the wood shed. A lake was nearby and the fire chief had everyone grab a bucket and pass it along. The house was saved and the chief got a pay raise.,Good,They both had strategic patterns embedded. ,Moderately Agree,I'm not sure.,,"I'm not sure.
",,Male,,Prefer not to answer,35 - 44,,,,,,,,,,,,,,,,,,,,,,
167,1,"The general thought of a way around the planted mines on the road to capture the fortress and overthrowing the dictator. In the end, he said he was successful by thinking that if you need a large group of people to accomplish something, you can also accomplish it by using smaller groups together at the same time at different directions to accomplish the goal as well.","Since people with small buckets of water to clear the fire was not working, the fire chief thought of a plan. Everyone would get a pale of water and stand around the house and throw the water on the fire at the same time. Instead of one person throwing water at a time, many people throwing water at the same time in different directions accomplishes the same way as having one huge water spray.",Good,They both used the principal of using many people at the same time at different directions to achieve a goal.,Strongly Agree,Shoot many lower intensity rays at different directions at the tumor at the same time.,,Shoot many lower intensity rays at different directions at the tumor at the same time.,,Female,,East Asian or Asian American,35 - 44,None.,,,,,,,,,,,,,,,,,,,,,
168,2,"A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines.Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available.Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",Intermediate,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time. In this way, the general captured the fortress and overthrew the dictator.The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",Agree,YES  THE HEALTHY TISSUE THAT THE RAYS PASS THROUGH ON THE WAY TO THE WAY TO THE TRUMOR WILL ALSO BE DESTROYED.,,"IF THE RAYS REACH THE TUMOR ALL AT ONCE AT A SUFFICIENTLY HIGH INTESITY
If I could welcome you to the meeting. national resilience, and no ... training and procurement functions, suggest a there is a proposal that the police might be ... as we term it, to ensure that the Fire and Rescue advice to both the ministers within the ODPM and ...... resilience issues, but that is not the end of the story.",,Male,,East Asian or Asian American,18 - 24,GOOD,,,,,,,,,,,,,,,,,,,,,
169,1,the general story was based on one ticrtator of thevillage ,johnson house was saved ,Intermediate,its says about the people life,Agree,health issues is usual toall ,,we should protect our health ,,Male,,South Asian or Indian American,25 - 34,good ,,,,,,,,,,,,,,,,,,,,,
170,2,"He didn't know how to attack because there were mines. So he choose to send small groups of men on each road since they wouldn't go off at that low of weight, so he could get the fortress.",The fire chief organized everyone to throw their water at once so it wouldn't evaporate. He save dthe mans house.,Good,They were organized with everyone working together to complete a task.,Moderately Agree,I have no idea.,,Go around the healthy tissue.,,Female,,Non-Hispanic White or Euro-American,25 - 34,No. Thank you!,,,,,,,,,,,,,,,,,,,,,
171,2,"In a post-secondary environment, academic expectations change from what you may have experienced in high school. The quantity of work you are expected to do is increased. When instructors expect you to read pages upon pages or study hours and hours for one particular course, managing your workload can be challenging. This chapter includes strategies for studying efficiently and managing your time.","Recalling those halcyon days, you might have forgotten that City Hall's current ""open-government"" fiasco actually started somewhere real, that those emails Mayor Lee Leffingwell and Mayor Pro Tem Mike Martinez exchanged with each other during a particularly heated council meeting back in April 2010 â€“ the ones pointed to as proof of rudeness at best and conspiracy at worst â€“ were actually related to legitimate matters in the Austin Fire Department. ",Good,"I constantly feel like I should be sitting with a group of friends in a beer garden or taking romantic seaside strolls. I should have thought about this before moving to Australia on my own. Maybe I should have gone to Seattle, I hear it rains a lot there.",Agree,"What immediately came to my mind was to install a tube, like a shunt, that would move aside any delicate tissues and organs; it would end at the tumour. The â€œraysâ€ù could be projected down the tube to the tumour.  The tube could be removed once treatment is completed.
",,"While this constitutes are reasonable verification of the notion that analogies can play an important role in design ideation, I think there are experimental shortcomings here that could be addressed methodologically, and that in any case there are some important implications for the execution of design ideation in practice.
",,Male,,South Asian or Indian American,25 - 34,"This solution allows you to quickly get a full-fledged customer portal with two communication channels - emails and open/restricted feedback forums. It can simultaneously operate in feedback and helpdesk modes, so you can handle all request in one place and add new ideas to sprints and fix reported issues in patch versions.",,,,,,,,,,,,,,,,,,,,,
172,2,"One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down,","A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress. However, the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal ",Intermediate,MODERATE,Moderately Agree,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress. However, the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal ",,GOOD,,Male,,South Asian or Indian American,25 - 34,THANK YOU,,,,,,,,,,,,,,,,,,,,,
